Job ID,Date,Company Name,Post,Location,Description,Level,Type,Function,Industry
2163163257,2020-09-15,Kalenborn do Brasil,Analista de planejamento,"Vespasiano, Minas Gerais, Brazil","Irá fazer e manter atualizado o cronograma de planejamento; responsável pelo retorno e apresentação da situação de cada projeto; acompanhar e monitorar o cronograma físico da obra e dos projetos em execução na fábrica. Possuir fácil acesso ou morar na região de Vespasiano, São José da Lapa, Lagoa Santa, Pedro Leopoldo.

Beneficios

Vale Transporte; Assistência Médica; Assistência Odontológica; Restaurante na empresa;

Formação Acadêmica

Formação superior em Engenharia Mecânica ou Técnico Mecânico.

Experiência

Necessário experiência em planejamento e controle de produção ou projetos e engenharia mecânica. Excel avançado. Autocad, projet e leitura e interpretação de desenhos.

Salário

2500

Cargo

Analista de planejamento

Empresa

Kalenborn do Brasil

Atua com treinamento em desenvolvimento profissional e gerencial.

Ramo

Recursos Humanos/ Recrutamento e seleção
Show less",Associate,Full-time,Business DevelopmentSales,Civil EngineeringStaffing and RecruitingHuman Resources
2163184045,2020-09-15,REF- Recursos Humanos,ENGENHEIRO DE SEGURANÇA DO TRABALHO,"Belo Horizonte, Minas Gerais, Brazil","ADMITE PARA SUA SEDE EM BELO HORIZONTE-MINAS GERAIS GERENTE DE SEGURANÇA DO TRABALHO Requisitos: Formação em Engenharia Civil , Engenharia Elétrica , Engenharia Mecânica ( estas graduações são desejáveis ) . outras Engenharias serão avaliadas de acordo com a vivência do profissional Pós graduação em Engenharia de Segurança do Trabalho sexo indiferente (CREA ativo); Experiência em empresas de médio a grande porte, de preferência, no ramo da construção civil pesada , siderurgias e indústrias de grande porte , etc; Disponibilidade para viagens esporádicas pelo Brasil( obrigatório está disponibilidade- para acompanhar as obras da empresa ; Desejável:Experiência em empresa com Sistema de Gestão (ISO9001 e/ou ISO 45001); Inglês intermediário. - desejavel inglÊs avançado ou fluente ( será um grande diferencial na seleção) Principais Atribuições: Gerenciar a área corporativa da Segurança do Trabalho; Coordenar programas de Segurança do Trabalho; Elaborar documentos internos de gestão da área. dentre outras atividades. empresa oferece salário inicial de R$ 16.500,00 em carteira de trabalho-regime CLT plano de saúde plano odontologico transporte alimentação estacionamento dentre outros beneficios. 01 vaga - urgente Enviar Currículo (Pode demorar alguns segundos ou um minuto para carregar. Dependete do tamanho do arquivo. Aguarde.)

Beneficios

Formação Acadêmica:

Não informado

Salário

Experiência:

A combinar

Cargo

Engenheiro de segurança do trabalho

Empresa

REF- Recursos Humanos

Fornecimento e gestão de recursos humanos para terceiros.

Ramo

Recursos Humanos/ Recrutamento e seleção
Show less",Entry level,Full-time,ManagementManufacturing,Information Technology and ServicesStaffing and RecruitingHuman Resources
2162603812,2020-09-14,Vale,ENGENHEIRO PLENO – PLANEJAMENTO – MINERAÇÃO,"Nova Lima, Minas Gerais, Brazil","Atenção: é necessário anexar seu currículo no ato da inscrição.

A triagem para o processo seletivo é realizada através da leitura do seu currículo anexado, caso já esteja anexado, lembre-se de manter o arquivo atualizado. Manter o currículo atualizado aumenta as suas chances de sucesso no processo seletivo.

N° de Vagas: 1

Formação: Engenharia de Produção, Mecânica, Mina ou Civil

Localidade: Paraopeba – Minas Gerais

Horário de Trabalho: Horário Comercial

Período de inscrição: 14/09/2020 a 21/09/2020

Pré-requisitos Obrigatórios
Experiência em planejamento e análise de dados de obras e qualidade;
Forte conhecimento e domínio da ferramenta MS Project ou Primavera;
Conhecimento em leitura de projetos e diagramas, desenvolvimento e acompanhamento de cronogramas;
Experiência em gestão de recursos e contratos;
Excelentes habilidades de organização e comunicação.

Pré-requisitos Desejáveis
Pós-Graduação em Gestão de Projetos.

Atividades e Responsabilidades
Atuar junto ao Supervisor de Planejamento para as responsabilidades do Gerenciamento de Riscos e Emergências;
Responsável pela condução de trabalhos de prevenção e mitigação de riscos de negócio e PAEBM;
Planejar e propor sugestões e melhorias, relatórios e planilhas; desenvolvimento e acompanhamento de cronograma;
Apoiar a gerência, em atividades de campo, escritório e passivos com ministério.
Show less",Entry level,Full-time,EngineeringInformation Technology,Information Technology and ServicesStaffing and RecruitingHuman Resources
2023632796,2020-09-10,Adecco,Engenheiro (a) de Planejamento de Projetos,Greater Belo Horizonte,"Formação:  Superior completo em Engenharia Elétrica, Mecânica, Civil ou outras áreas.
Localidade: Região de Belo Horizonte/Minas Gerais.
Horário de Trabalho: Administrativo.

Pré requisitos obrigatórios:
Experiência ampla com as rotinas de planejamento de projetos.
Bons conhecimentos técnicos em planejamento.
Obrigatório conhecimento avançado ou fluente no idioma inglês.
Necessário ter atuação com a ferramenta Primavera, MS Project ou similares.
Pacote Office intermediário.

Atividades e responsabilidades
Planejamento e desenvolvimento de projetos de Engenharia.
Atuação multidisciplinar, com projetos em elétrica, mecânica e civil.
Realizar a gestão, acompanhamentos e projeções em conjunto com empresas de engenharia.
Atuação com projetos internacionais.
Show less",Mid-Senior level,Full-time,EngineeringProject Management,Staffing and Recruiting
2160122595,2020-09-12,Líder e Gestão,Gerente De Segurança Do Trabalho - Belo Horizonte - MG,"Belo Horizonte, Minas Gerais, Brazil","Titulo:Gerente de Segurança do Trabalho - Belo Horizonte - MGDescricao: GRUPO EMPRESARIAL- MULTINACIONAL DE GRANDE PORTE DO RAMO DE CONSTRUÇÃO PESADA, ÓLEO E GÁS, AGROBUSINESS E SIDERURGIA,

ADMITE PARA SUA SEDE EM BELO HORIZONTE-MINAS GERAIS

GERENTE DE SEGURANÇA DO TRABALHO.

Local: Prado – Belo Horizonte.

Envie seu currículo com o assunto: gerentesegtrab. Até 20/09.Turno: Das 08:00 às 18:00.Requisitos: CREA ativo;
Experiência em empresas de médio a grande porte, de preferência, no ramo da construção civil pesada , siderurgias e indústrias de grande porte , etc;
Disponibilidade para viagens esporádicas pelo Brasil( obrigatório está disponibilidade- para acompanhar as obras da empresa ;
Desejável:Experiência em empresa com Sistema de Gestão (ISO9001 e/ou ISO 45001);
Inglês intermediário – desejável.
Inglês avançado ou fluente (será um grande diferencial na seleção).Formacao: Em Engenharia Civil, Engenharia Elétrica, Engenharia Mecânica (estas graduações são desejáveis). Outras Engenharias serão avaliadas de acordo com a vivência do profissional. Pós graduação em Engenharia de Segurança do Trabalho.Salario: 16.500,00Beneficios: Empresa oferece salário inicial de R$ 16.500,00 em carteira de trabalho-regime CLT
plano de saúde
plano odontológico
transporte
alimentação
estacionamento
dentre outros benefícios.Cidade / Estado: Belo Horizonte / MG
Show less",Associate,Full-time,OtherInformation TechnologyManagement,Information Technology and ServicesStaffing and RecruitingHuman Resources
2163179706,2020-09-15,REF- Recursos Humanos,GERENTE DE SEGURANÇA DO TRABALHO,"Belo Horizonte, Minas Gerais, Brazil","ADMITE PARA SUA SEDE EM BELO HORIZONTE-MINAS GERAIS GERENTE DE SEGURANÇA DO TRABALHO Requisitos: Formação em Engenharia Civil , Engenharia Elétrica , Engenharia Mecânica ( estas graduações são desejáveis ) . outras Engenharias serão avaliadas de acordo com a vivência do profissional Pós graduação em Engenharia de Segurança do Trabalho sexo indiferente (CREA ativo); Experiência em empresas de médio a grande porte, de preferência, no ramo da construção civil pesada , siderurgias e indústrias de grande porte , etc; Disponibilidade para viagens esporádicas pelo Brasil( obrigatório está disponibilidade- para acompanhar as obras da empresa ; Desejável:Experiência em empresa com Sistema de Gestão (ISO9001 e/ou ISO 45001); Inglês intermediário. - desejavel inglÊs avançado ou fluente ( será um grande diferencial na seleção) Principais Atribuições: Gerenciar a área corporativa da Segurança do Trabalho; Coordenar programas de Segurança do Trabalho; Elaborar documentos internos de gestão da área. dentre outras atividades. empresa oferece salário inicial de R$ 16.500,00 em carteira de trabalho-regime CLT plano de saúde plano odontologico transporte alimentação estacionamento dentre outros beneficios. 01 vaga - urgente Enviar Currículo (Pode demorar alguns segundos ou um minuto para carregar. Dependete do tamanho do arquivo. Aguarde.)

Beneficios

Formação Acadêmica:

Não informado

Salário

Experiência:

A combinar

Cargo

Gerente de Segurança do Trabalho

Empresa

REF- Recursos Humanos

Fornecimento e gestão de recursos humanos para terceiros.

Ramo

Recursos Humanos/ Recrutamento e seleção
Show less",Associate,Full-time,OtherInformation TechnologyManagement,Information Technology and ServicesStaffing and RecruitingHuman Resources
2150502887,2020-09-15,Banco Bradesco,GERENTE PRECIFICAÇÃO,"São Paulo, São Paulo, Brazil","Buscamos profissionais que acreditam no valor e na capacidade de desenvolvimento das pessoas, almejem crescimento pessoal e profissional, aproveitem oportunidades para superar desafios e respeitem a diversidade do ser humano.
Você possui um perfil arrojado, inovador, e está sempre em busca de novos desafios, então esta oportunidade é para você!
Se identificou com nossos valores? Então, venha fazer parte da nossa Equipe!

Principais Responsabilidades:

Desenvolver e implementar modelos de apreçamento de ativos financeiros;
Análisar e acompanhar mercado, preços de ativos ilíquidos e cenários econômicos;
Monitorar e Controlar riscos de mercado e liquidez;
Backtesting dos modelos de risco e cenários de estresse;
Elaborar reportes para atendimento e suporte a clientes, órgãos reguladores/fiscalizadores e alta direção;
Gestão de processos e de equipes de alta performance e qualificação.

Formação:

Graduação Engenharia Mecânica, Mecatrônica, Elétrica, Civil ou da Computação ou Bacharelado em Matemática, Física, Estatística, Ciências Atuariais, Administração ou Economia.

Conhecimentos:

Experiência na gestão de precificação e risco;
Conhecimento pacote Office com enfâse em Excel e Access;
Conhecimento linguagens de Programação;
Conhecimentos avançado em modelagem de riscos de mercado;
Conhecimentos avançado em mercado de capitais e fundos de investimento;
Inglês Intermediário / Avançado;

Benefícios:

Assistência Médica;
Assistência Odontológica;
Vale- Alimentação;
Vale – Refeição;
Auxílio – Creche;
Seguro de Vida;
Previdência privada;
PLR.

Se você é PCD, candidate-se! Aqui respeitamos a diversidade!
Show less",Mid-Senior level,Full-time,FinanceManagementStrategy/Planning,Investment BankingInvestment ManagementCapital Markets
2011448846,2020-09-08,Gerdau,Especialista – Engenharia de Manutenção – Sistemas e Métodos,"Ouro Branco, Minas Gerais, Brazil","A Gerdau, uma multinacional brasileira presente em 10 países, está contratando Especialista em Engenharia de Manutenção – Sistemas & Métodos para a usina de Ouro Branco.

Esta posição atuará na equipe de manutenção central com o foco em Sistemas e Métodos de Manutenção (Confiabilidade), de forma a definir, disseminar e garantir o alinhamento entre as áreas nos conceitos, práticas e procedimentos do Sistema de Manutenção.

Se interessou? Veja a descrição da atividade e aplica-se até dia 15/09.
 Conheça os principais desafios da posição:
 Suportar como facilitador(a) as iniciativas de implantação de sistemas e das melhores práticas de Manutenção na Usina.
Realizar reporte gerencial periódico de indicadores e metas para as Gerências de Manutenção e Comitê da Usina.
Atuar como guardiã (o) do sistema de manutenção, orientando quanto a sua correta utilização nas áreas e realizando auditorias no sistema (CMMS / SAP-PM).
Conduzir projetos de melhorias nos processos de Gestão da Manutenção, liderando e coordenando tecnicamente.
Realização de estudos de comportamento de falhas e perfis de perdas com objetivo de melhoria da estratégia da Manutenção.
Realização e condução como facilitador(a) de análises FMEA e RCM.

Qualificações:

Superior em Engenharia Mecânica, Elétrica ou afins, preferencialmente com especialização em Engenharia de Manutenção e/ou Confiabilidade.
Pacote Office e Power BI.
Mínimo de 5 anos de atuação como engenheira(o) de manutenção ou confiabilidade.


O que oferecemos? Benefícios:
Assistência Médica Hospitalar UNIMED Nacional: sem carência, modalidade enfermaria ou apartamento (conforme sua opção).
Assistência Odontológica Met Life
Refeição na Empresa
Seguro de Vida em Grupo e Auxilio Funeral
Pronto Atendimento virtual do Hospital Albert Einstein – sem custo.
Programa +Cuidado: assistência profissional e confidencial para problemas pessoais – sem custo.
Programa de Seguros Aon: condições comerciais de Seguro exclusiva para os colaboradores Gerdau.
Benefício Farmácia
Previdência Privada
Aparelho Ortopédico
Transporte fretado: oferecemos transporte de/para as cidades de Ouro Branco, Congonhas, Conselheiro Lafaiete e Belo Horizonte.


O que desejamos?

Gestão e processo da manutenção (Inspeção, Planejamento, Programação, Indicadores, Preventiva e Preditiva).
Gestão da rotina, melhoria contínua, indicadores de desempenho, mapeamento de processos, ferramentas de análise e solução de problemas
Ferramentas de confiabilidade (RCM Manutenção Centrada em Confiabilidade, FMEA Análise de Modos e Efeitos de Falha, Análise de Dados de Vida e Análise de Degradação)
SAP-PM (Usuário avançado, cadastro de dados mestres, planos de manutenção, padrões, ordens de serviço, registro de anomalias e informações gerenciais de manutenção).


Etapas do processo:

Triagem de requisitos dos inscritos;
Entrevista técnica e comportamentalcom RH e líder da Área
Show less",Mid-Senior level,Full-time,EngineeringProduction,Mining & Metals
2163176180,2020-09-15,Qualy End,Assistente técnico de relatórios,"Belo Horizonte, Minas Gerais, Brazil","Realizará elaboração e revisão de relatórios técnicos; realizar controle e emissão de relatórios; interpretação de desenhos técnicos mecânicos; elaboração de croquis e desenhos técnicos mecânicos no AutoCAD.

Beneficios

Seguro de vida; Assistência Odontológica; Auxílio Creche; Convênio com Farmácia; Seguro saúde;

Formação Acadêmica

Ensino técnico em Mecânica. Desejável superior cursando entre 1° e 5° ano de Engenharia Mecânica.

Experiência

Experiência na utilização de AutoCAD 2D. Desejável SolidWorks ou similar. Conhecimento em leitura de desenhos técnicos mecânicos e Pacote Office básico a intermediário (Excel, Word e Outlook).

Salário

1600

Cargo

Assistente administrativo

Empresa

Qualy End

Testes e análises técnicas.

Ramo

Engenharia
Show less",Entry level,Full-time,Other,ConstructionCivil EngineeringStaffing and Recruiting
2160121733,2020-09-12,Líder e Gestão,Gerente De Segurança Do Trabalho,"Belo Horizonte, Minas Gerais, Brazil","Titulo: Gerente de Segurança do Trabalho - Belo Horizonte - MGDescricao: GRUPO EMPRESARIAL- MULTINACIONAL DE GRANDE PORTE DO RAMO DE CONSTRUÇÃO PESADA, ÓLEO E GÁS, AGROBUSINESS E SIDERURGIA,
ADMITE PARA SUA SEDE EM BELO HORIZONTE-MINAS GERAIS
GERENTE DE SEGURANÇA DO TRABALHO.
Local: Prado ? Belo Horizonte.
Envie seu currículo com o assunto: gerentesegtrab. Até 20/09.Turno: Das 08:00 às 18:00.Requisitos: CREA ativo;
Experiência em empresas de médio a grande porte, de preferência, no ramo da construção civil pesada , siderurgias e indústrias de grande porte , etc;
Disponibilidade para viagens esporádicas pelo Brasil( obrigatório está disponibilidade- para acompanhar as obras da empresa ;
Desejável: Experiência em empresa com Sistema de Gestão (ISO9001 e/ou ISO 45001);
Inglês intermediário ? desejável.
Inglês avançado ou fluente (será um grande diferencial na seleção).Formacao: Em Engenharia Civil, Engenharia Elétrica, Engenharia Mecânica (estas graduações são desejáveis). Outras Engenharias serão avaliadas de acordo com a vivência do profissional. Pós graduação em Engenharia de Segurança do Trabalho.Salario: 16.500,00Beneficios: Empresa oferece salário inicial de R$ 16.500,00 em carteira de trabalho-regime CLT
plano de saúde
plano odontológico
transporte
alimentação
estacionamento
dentre outros benefícios.Cidade / Estado: Belo Horizonte / MG
Education : Em Engenharia Civil, Engenharia Elétrica, Engenharia Mecânica (estas graduações são desejáveis). Outras Engenharias serão avaliadas de acordo com a vivência do profissional. Pós graduação em Engenharia de Segurança do Trabalho.
Experience : CREA ativo;
Experience : Experiência em empresas de médio a grande porte, de preferência, no ramo da construção civil pesada , siderurgias e indústrias de grande porte , etc;
Experience : Disponibilidade para viagens esporádicas pelo Brasil( obrigatório está disponibilidade- para acompanhar as obras da empresa ;
Experience : Desejável: Experiência em empresa com Sistema de Gestão (ISO9001 e/ou ISO 45001);
Experience : Inglês intermediário ? desejável.
Experience : Inglês avançado ou fluente (será um grande diferencial na seleção).
Show less",Associate,Full-time,OtherInformation TechnologyManagement,Information Technology and ServicesStaffing and RecruitingHuman Resources
